Car ID,Car Name,Year,Age of Car,Distance,Owner,Fuel,Location,Drive,Type,Price,Ratings,Safety Rating,Color
83,Hyundai Grand i10,2017,7,92995,2,PETROL,HR-36,Manual,HatchBack,442000,3,2,White
84,Maruti Dzire,2019,5,73862,1,PETROL,GJ-01,Manual,Sedan,587000,3,3,Black
85,Maruti Baleno,2015,9,52288,1,DIESEL,HR-51,Manual,HatchBack,397000,5,1,Black
86,Maruti Ertiga,2012,12,100479,3,DIESEL,KA-01,Manual,SUV,579000,1,4,Black
87,Maruti Ciaz,2016,8,87544,2,PETROL,HR-26,Automatic,Sedan,741000,2,2,White
88,Mahindra XUV500,2018,6,105759,2,DIESEL,KA-09,Manual,Lux_SUV,1196000,3,1,Black
89,Maruti Alto K10,2018,6,56156,1,PETROL,CH-01,Manual,HatchBack,355000,5,2,White
90,Maruti Swift Dzire,2017,7,65798,1,PETROL,DL-8C,Manual,Sedan,503000,1,4,White
91,Renault Duster,2014,10,52550,1,DIESEL,MH-02,Manual,SUV,625000,5,5,Black
92,Maruti Alto 800,2014,10,56722,1,PETROL,PB-10,Manual,HatchBack,251000,4,3,White
93,Mahindra XUV500,2018,6,45996,2,DIESEL,MH-04,Manual,Lux_SUV,1151000,1,5,Black
94,Maruti Swift Dzire,2014,10,92341,1,DIESEL,KA-04,Manual,Sedan,558000,3,5,Blue
95,Renault Kwid,2017,7,62029,1,PETROL,MH-47,Manual,HatchBack,302000,1,4,Black
96,Maruti Vitara Brezza,2018,6,80993,1,DIESEL,GJ-24,Manual,SUV,787000,1,1,Red
97,Hyundai GRAND I10 NIOS,2020,4,16792,1,PETROL,DL-12,Manual,HatchBack,645000,3,2,Black
98,Maruti Baleno,2017,7,38710,1,PETROL,MH-12,Manual,HatchBack,654000,1,3,Red
99,Hyundai Grand i10,2013,11,67389,1,PETROL,MH-02,Manual,HatchBack,347000,4,1,White
100,Maruti Ertiga,2018,6,83567,2,DIESEL,DL-3C,Manual,SUV,770000,1,5,Black
101,Ford Ecosport,2020,4,14618,1,PETROL,KA-02,Manual,SUV,1010000,3,3,Red
102,Maruti Wagon R 1.0,2013,11,91405,1,PETROL,AP-28,Manual,HatchBack,324000,2,4,Red
103,Maruti Alto K10,2015,9,69770,1,CNG,DL-9C,Manual,HatchBack,295000,5,4,Black
104,Maruti Alto K10,2011,13,58552,1,PETROL,KA-05,Manual,HatchBack,246000,3,5,Red
105,Datsun Redi Go,2018,6,65548,1,PETROL,UP-16,Automatic,HatchBack,252000,4,2,Red
106,Maruti Swift Dzire,2013,11,50688,2,PETROL,MH-04,Manual,Sedan,625000,3,1,White
107,Maruti Celerio,2020,4,53570,1,PETROL,HR-26,Manual,HatchBack,421000,5,3,Orange
108,Maruti Vitara Brezza,2016,8,123776,2,DIESEL,MH-05,Manual,SUV,665000,2,1,Black
109,Hyundai Grand i10,2014,10,56578,1,PETROL,KA-05,Manual,HatchBack,458000,4,3,Black
110,Maruti Wagon R 1.0,2015,9,23093,1,PETROL,WB-06,Manual,HatchBack,310000,4,4,Black
111,Honda WR-V,2019,5,16859,1,PETROL,DL-4C,Manual,SUV,844000,5,1,White
112,Maruti Alto K10,2016,8,75196,1,PETROL,RJ-40,Automatic,HatchBack,325000,2,4,White
113,Honda Jazz,2015,9,31382,1,PETROL,MH-14,Manual,HatchBack,488000,2,1,Black
114,Maruti New Wagon-R,2021,3,31819,1,CNG,DL-2C,Manual,HatchBack,641000,2,4,Red
115,Honda WR-V,2017,7,30033,1,PETROL,TN-06,Manual,SUV,798000,5,5,Blue
116,Honda Amaze,2014,10,50908,1,PETROL,MP-04,Manual,Sedan,476000,2,4,Black
117,Maruti Ciaz,2015,9,19250,2,PETROL,MH-31,Manual,Sedan,815000,1,3,White
118,Maruti Alto 800,2018,6,37303,1,PETROL,WB-08,Manual,HatchBack,273000,2,1,White
119,Renault Pulse,2014,10,83271,1,DIESEL,KA-51,Manual,HatchBack,346000,2,4,Orange
120,Renault Kwid,2019,5,67570,1,PETROL,MH-49,Manual,HatchBack,333000,2,4,White
121,Maruti Swift,2015,9,69946,2,PETROL,DL-12,Manual,HatchBack,396000,4,1,White
122,Hyundai Grand i10,2015,9,52596,2,PETROL,GJ-01,Manual,HatchBack,468000,5,3,Red
123,Hyundai Grand i10,2015,9,60607,1,PETROL,WB-02,Manual,HatchBack,337000,5,3,Red
124,Renault Kiger,2021,3,13808,1,PETROL,TN-03,Manual,HatchBack,837000,1,1,Black
125,Hyundai Verna,2018,6,47446,1,PETROL,TN-01,Manual,Sedan,851000,4,2,Orange
126,Maruti Alto 800,2013,11,59903,1,PETROL,MP-04,Manual,HatchBack,221000,1,1,Black
127,Renault Kiger,2021,3,51670,1,PETROL,TS-08,Manual,HatchBack,759000,2,5,Blue
128,Hyundai Xcent,2017,7,95666,1,PETROL,DL-1C,Manual,Sedan,420000,5,3,Black
129,Maruti IGNIS,2018,6,68107,2,PETROL,GJ-17,Automatic,HatchBack,533000,2,2,Black
130,Maruti Alto 800,2018,6,26047,2,PETROL,CH-01,Manual,HatchBack,307000,1,4,Black
131,Maruti Swift Dzire,2014,10,115516,1,DIESEL,UP-14,Manual,Sedan,450000,2,3,White
132,Mahindra TUV300,2016,8,70625,1,DIESEL,GJ-01,Manual,SUV,615000,5,3,White
133,Honda City,2019,5,22758,1,PETROL,DL-3C,Manual,Sedan,362000,5,2,Red
134,Maruti Alto 800,2015,9,111283,2,PETROL,DL-3C,Manual,HatchBack,274000,1,1,White
135,Hyundai Grand i10,2018,6,26136,2,PETROL,KA-09,Manual,HatchBack,618000,3,2,Black
136,Hyundai i10,2011,13,36164,2,PETROL,BR-01,Manual,HatchBack,196350,1,2,Black
137,Hyundai Xcent,2019,5,37432,1,PETROL,GJ-16,Manual,Sedan,537000,1,3,Black
138,Maruti Baleno,2017,7,88993,1,PETROL,MP-09,Automatic,HatchBack,619000,1,2,Red
139,Maruti Wagon R 1.0,2010,14,66835,1,PETROL,MH-14,Manual,HatchBack,248800,4,4,Red
140,Tata ALTROZ,2021,3,11559,1,PETROL,MH-05,Manual,HatchBack,725000,4,1,Orange
141,Hyundai GRAND I10 NIOS,2019,5,42299,2,PETROL,UP-15,Manual,HatchBack,506000,3,5,Black
142,Maruti Baleno,2020,4,27459,1,PETROL,KA-05,Manual,HatchBack,743000,1,4,Red
143,Maruti Celerio,2016,8,30940,2,PETROL,MH-47,Automatic,HatchBack,336000,5,1,Blue
144,Maruti Alto 800,2019,5,15144,1,PETROL,HR-30,Manual,HatchBack,338000,1,3,Black
145,Maruti New Wagon-R,2020,4,40242,1,CNG,DL-12,Manual,HatchBack,516000,5,1,Blue
146,Honda City,2016,8,42093,1,PETROL,MH-01,Manual,Sedan,798000,5,2,White
147,Maruti Swift,2014,10,71318,1,PETROL,KA-05,Manual,HatchBack,475000,5,1,Blue
148,Hyundai GRAND I10 NIOS,2019,5,76947,1,PETROL,TS-10,Automatic,HatchBack,726000,4,4,Red
149,Hyundai Xcent,2017,7,53751,1,PETROL,UP-14,Manual,Sedan,477000,5,1,Red
150,Hyundai i10,2015,9,77569,1,PETROL,KA-41,Manual,HatchBack,393000,2,2,Red
151,Maruti Baleno,2017,7,50484,2,PETROL,MH-12,Automatic,HatchBack,603000,2,4,Red
152,Maruti Eeco,2017,7,15016,1,PETROL,KA-53,Manual,SUV,410000,4,5,White
153,Tata Tiago,2021,3,30359,2,PETROL,TS-08,Manual,HatchBack,577000,3,4,White
154,Maruti Swift,2016,8,82380,1,PETROL,MP-04,Manual,HatchBack,450000,1,3,Red
155,Honda Jazz,2019,5,30505,1,PETROL,TN-14,Automatic,HatchBack,771000,2,4,Blue
156,Mahindra Kuv100,2016,8,73985,2,DIESEL,PB-12,Manual,SUV,383000,5,3,White
157,Maruti Alto,2020,4,16722,1,PETROL,DL-8C,Manual,HatchBack,319000,5,1,Red
158,Hyundai Grand i10,2015,9,82375,2,PETROL,DL-1C,Manual,HatchBack,363000,1,4,Blue
159,Hyundai VENUE,2022,2,12415,1,PETROL,DL-7C,Manual,SUV,1114000,4,1,Blue
160,Maruti Alto,2012,12,40968,1,PETROL,AP-29,Manual,HatchBack,217000,4,5,Black
161,Maruti Alto K10,2014,10,40255,2,PETROL,BR-01,Manual,HatchBack,201000,3,3,Blue
162,Toyota Innova Crysta,2018,6,81300,1,DIESEL,MH-05,Manual,SUV,1713000,2,4,Red
163,Hyundai Verna,2015,9,54945,1,PETROL,MH-01,Automatic,Sedan,997000,2,4,Black
164,Maruti Vitara Brezza,2019,5,80511,1,DIESEL,KA-03,Automatic,SUV,857000,4,3,Black
165,Honda City,2017,7,44752,1,PETROL,HR-36,Manual,Sedan,808000,2,5,Red
166,Hyundai Grand i10,2016,8,40102,1,PETROL,MH-48,Manual,HatchBack,528000,3,2,White
167,Maruti Swift Dzire,2014,10,65926,1,PETROL,KA-02,Manual,Sedan,455000,1,4,Black
168,Maruti Alto 800,2013,11,59845,1,PETROL,KA-41,Manual,HatchBack,253000,4,4,Black
169,Maruti Vitara Brezza,2018,6,98499,1,DIESEL,HR-26,Automatic,SUV,747000,5,4,Black
170,Volkswagen Vento,2017,7,67533,1,PETROL,MH-04,Automatic,Sedan,650000,4,1,White
171,Tata NEXON,2019,5,16032,1,PETROL,UP-14,Automatic,SUV,957000,1,1,Red
172,Honda Amaze,2015,9,31738,1,PETROL,TN-42,Manual,Sedan,528250,1,1,Black
173,Renault Kwid,2021,3,6859,1,PETROL,GJ-06,Manual,HatchBack,360000,3,3,Black
174,Honda City,2020,4,20009,1,PETROL,KA-01,Automatic,Sedan,1231000,3,5,Orange
175,Maruti Ciaz,2016,8,24731,1,PETROL,MH-14,Automatic,Sedan,647000,1,2,Red
176,Maruti Alto,2021,3,22081,1,CNG,HR-51,Manual,HatchBack,461000,3,5,Blue
177,Hyundai Grand i10,2019,5,17480,1,PETROL,KA-53,Manual,HatchBack,638000,5,1,White
178,Volkswagen Polo,2017,7,58137,1,PETROL,MP-09,Manual,HatchBack,505000,3,3,White
179,Maruti Baleno,2017,7,49877,1,PETROL,GJ-01,Manual,HatchBack,543000,3,4,White
180,Tata Tiago,2017,7,61094,1,PETROL,MH-12,Manual,HatchBack,474000,1,4,Black
181,Maruti Swift,2017,7,94926,1,DIESEL,KA-05,Manual,HatchBack,705000,1,2,Black
182,Hyundai i20,2010,14,67473,2,PETROL,DL-3C,Manual,HatchBack,163000,2,2,White
183,Hyundai i10,2012,12,17962,1,PETROL,DL-4C,Manual,HatchBack,252000,3,3,Orange
184,Ford Ecosport,2019,5,51442,1,PETROL,CH-01,Automatic,SUV,778000,3,5,Black
185,Hyundai NEW SANTRO,2021,3,33104,1,CNG,MH-12,Manual,HatchBack,588000,5,5,Blue
186,Maruti Wagon R 1.0,2012,12,69286,1,PETROL,WB-06,Manual,HatchBack,213000,5,2,White
187,Maruti Swift Dzire,2013,11,99860,1,DIESEL,AP-13,Manual,Sedan,444000,1,1,White
188,Maruti Swift,2018,6,55919,1,PETROL,HR-26,Manual,HatchBack,657000,3,1,Black
189,Maruti Alto 800,2014,10,51356,3,PETROL,TN-11,Manual,HatchBack,229000,5,1,Black
190,Maruti Swift Dzire,2013,11,55432,1,PETROL,DL-4C,Manual,Sedan,218000,2,4,Red
191,Maruti Swift Dzire,2015,9,56389,2,PETROL,DL-3C,Automatic,Sedan,316000,3,3,Orange
192,Hyundai VENUE,2021,3,11936,1,PETROL,UP-32,Manual,SUV,1017000,1,1,Black
193,Toyota Etios,2015,9,61984,2,DIESEL,UP-14,Manual,Sedan,500000,2,3,Red
194,Honda City,2015,9,11877,1,PETROL,KA-02,Automatic,Sedan,937000,1,5,Red
195,Honda City,2012,12,61301,2,PETROL,GJ-10,Manual,Sedan,371000,5,4,White
196,Maruti Ciaz,2019,5,1245,2,PETROL,MH-01,Automatic,Sedan,862000,4,2,Red
197,Maruti Baleno,2020,4,23849,1,PETROL,HR-26,Manual,HatchBack,705000,4,5,Red
198,Ford Ecosport,2019,5,58565,2,DIESEL,MH-14,Manual,SUV,861000,4,3,Red
199,Maruti Alto K10,2010,14,42373,2,PETROL,DL-12,Manual,HatchBack,175000,2,2,White
200,Maruti Baleno,2017,7,50135,1,PETROL,PB-10,Manual,HatchBack,600000,1,5,Red
201,Hyundai Eon,2014,10,24501,3,PETROL,WB-24,Manual,HatchBack,209000,1,3,Orange
202,Hyundai i20,2013,11,59723,1,PETROL,KA-03,Manual,HatchBack,455000,2,5,White
203,Maruti Swift Dzire,2013,11,104570,1,PETROL,TN-40,Manual,Sedan,413000,3,5,Red
204,Toyota Etios,2013,11,47219,1,PETROL,MH-01,Manual,Sedan,389000,1,5,Black
205,Maruti Alto K10,2013,11,85808,1,PETROL,KL-22,Manual,HatchBack,243000,3,2,Black
206,Maruti Baleno,2018,6,89242,1,PETROL,TS-08,Automatic,HatchBack,740000,2,3,Red
207,Maruti Baleno,2017,7,27985,1,PETROL,DL-8C,Manual,HatchBack,548000,1,3,Black
208,Hyundai i10,2011,13,108793,2,PETROL,DL-8C,Manual,HatchBack,267000,5,4,White
209,Honda City,2014,10,76899,1,PETROL,KA-01,Manual,Sedan,397000,5,3,Black
210,Hyundai i10,2012,12,35125,2,PETROL,TN-07,Manual,HatchBack,308000,3,1,White
211,Datsun Redi Go,2016,8,61126,1,PETROL,TN-01,Manual,HatchBack,270000,5,4,Orange
212,Datsun Redi Go,2017,7,76982,1,PETROL,GJ-06,Manual,HatchBack,247000,5,3,White
213,Honda Amaze,2019,5,41781,1,DIESEL,MH-12,Manual,Sedan,885000,3,2,White
214,Maruti Celerio,2017,7,97445,2,PETROL,TN-02,Automatic,HatchBack,443000,5,4,Black
215,Maruti Alto K10,2010,14,53614,1,PETROL,MH-14,Manual,HatchBack,171000,3,3,White
216,Maruti Swift,2022,2,7396,1,PETROL,TN-22,Manual,HatchBack,762000,4,1,White
217,Mahindra XUV500,2019,5,36847,1,DIESEL,KA-03,Manual,Lux_SUV,1756000,3,2,Black
218,Maruti Swift Dzire,2012,12,60351,1,PETROL,UP-16,Manual,Sedan,506000,5,1,Black
219,Maruti Celerio,2018,6,54589,1,PETROL,MH-47,Manual,HatchBack,422000,1,4,White
220,Maruti Alto 800,2017,7,41690,2,PETROL,KA-53,Manual,HatchBack,337000,5,3,White
221,Maruti Wagon R 1.0,2014,10,35889,1,PETROL,MH-01,Manual,HatchBack,306000,5,1,Red
222,Volkswagen Polo,2010,14,61282,2,PETROL,HR-26,Manual,HatchBack,234000,3,4,Black
223,Maruti Alto 800,2013,11,76257,3,PETROL,AP-28,Manual,HatchBack,227000,1,5,Orange
224,Maruti Baleno,2019,5,16773,1,PETROL,DL-6C,Automatic,HatchBack,780000,4,2,White
225,Maruti Swift,2019,5,70314,1,PETROL,KA-05,Automatic,HatchBack,698000,2,5,Black
226,Maruti Alto 800,2013,11,32823,1,PETROL,MH-40,Manual,HatchBack,236000,4,3,Red
227,Hyundai i10,2010,14,99873,1,PETROL,HR-26,Manual,HatchBack,162000,3,4,Black
228,Tata ALTROZ,2020,4,22143,1,PETROL,HR-26,Manual,HatchBack,740000,5,5,White
229,Toyota YARIS,2020,4,54737,1,PETROL,TS-09,Automatic,Sedan,705000,2,2,Red
230,Hyundai Grand i10,2016,8,71822,2,PETROL,MH-12,Automatic,HatchBack,535000,2,2,Black
231,Hyundai Elite i20,2016,8,56136,2,PETROL,DL-10,Manual,HatchBack,523000,5,5,Black
232,Honda City,2019,5,36936,1,PETROL,WB-02,Manual,Sedan,742000,5,2,Blue
233,Honda Amaze,2019,5,54034,1,PETROL,GJ-01,Manual,Sedan,600000,3,2,Black
234,Hyundai Grand i10,2017,7,38444,2,PETROL,MH-04,Automatic,HatchBack,529000,3,3,Red
235,Honda Jazz,2016,8,45624,2,PETROL,GJ-01,Manual,HatchBack,415000,4,5,White
236,Hyundai Grand i10,2016,8,52263,1,PETROL,MH-31,Manual,HatchBack,441000,2,1,Black
237,Maruti Alto,2019,5,53976,1,PETROL,TS-10,Manual,HatchBack,352000,5,4,Black
238,Hyundai Elite i20,2015,9,21693,1,PETROL,DL-10,Manual,HatchBack,570000,4,2,Black
239,Hyundai Elite i20,2014,10,69351,1,PETROL,MH-02,Manual,HatchBack,430000,1,4,Red
240,Maruti Ciaz,2018,6,74648,2,DIESEL,DL-8C,Manual,Sedan,599000,2,1,Black
241,Hyundai Santro Xing,2013,11,81618,1,PETROL,UP-14,Manual,HatchBack,212000,3,5,Red
242,Renault Kwid,2021,3,11389,1,PETROL,KA-04,Manual,HatchBack,523000,1,1,Black
243,Hyundai Grand i10,2019,5,68298,1,PETROL,PB-10,Manual,HatchBack,545000,1,3,Red
244,Honda City,2015,9,60713,1,PETROL,DL-4C,Manual,Sedan,252000,4,1,White
245,Maruti Swift Dzire,2012,12,33184,1,PETROL,UP-14,Manual,Sedan,600000,3,2,Blue
246,Maruti S PRESSO,2019,5,77415,1,PETROL,TS-07,Automatic,HatchBack,499000,1,5,White
247,Maruti Wagon R 1.0,2014,10,40670,1,CNG,MH-12,Manual,HatchBack,376000,5,5,Black
248,Maruti Celerio X,2018,6,54156,1,PETROL,TS-07,Manual,HatchBack,436000,1,2,Red
249,Maruti Baleno,2019,5,59905,2,PETROL,TN-11,Manual,HatchBack,526000,1,2,Black
250,Hyundai Grand i10,2017,7,17427,1,PETROL,DL-4C,Manual,HatchBack,483000,3,4,White
251,Tata NEXON,2021,3,10667,1,PETROL,GJ-01,Automatic,SUV,1141000,5,5,Blue
252,Maruti New Wagon-R,2022,2,16752,1,CNG,KL-07,Manual,HatchBack,646000,5,1,Black
253,Renault TRIBER,2021,3,12549,1,PETROL,CH-01,Manual,SUV,700000,4,3,Black
254,Maruti Wagon R 1.0,2015,9,74759,1,PETROL,MH-05,Manual,HatchBack,342000,1,4,Red
255,Honda Brio,2012,12,57686,2,PETROL,MH-43,Manual,HatchBack,275000,1,5,Black
256,Hyundai i10,2012,12,73424,2,PETROL,AP-13,Manual,HatchBack,291650,5,4,Red
257,Maruti Wagon R 1.0,2017,7,64464,1,PETROL,TS-09,Manual,HatchBack,437000,1,2,White
258,Nissan Micra,2014,10,64081,1,PETROL,MH-11,Automatic,HatchBack,346000,1,2,Orange
259,Hyundai Tucson New,2017,7,53047,2,PETROL,HR-26,Manual,Lux_SUV,1154000,3,4,Black
260,Maruti Swift,2014,10,55145,1,PETROL,MH-12,Manual,HatchBack,433000,5,1,Black
261,Ford Ecosport,2021,3,63357,1,DIESEL,UP-42,Manual,SUV,874000,4,2,Blue
262,Tata Harrier,2020,4,35866,1,DIESEL,GJ-06,Automatic,SUV,1818000,2,1,Red
263,Maruti Ciaz,2015,9,123077,2,DIESEL,GJ-01,Manual,Sedan,569350,3,5,Blue
264,Hyundai i10,2016,8,29960,1,PETROL,KA-03,Manual,HatchBack,408000,2,2,Black
265,Hyundai Grand i10,2017,7,28490,1,PETROL,GJ-27,Manual,HatchBack,518000,5,2,Black
266,Hyundai Grand i10,2015,9,48500,2,PETROL,MH-01,Automatic,HatchBack,440000,5,3,Black
267,Renault Kwid,2016,8,68362,1,PETROL,KL-08,Manual,HatchBack,260000,4,2,Black
